Date,Q (ft3/s),
3/17/2004,"726,000",
3/18/2004,"752,000",
3/19/2004,"769,000",
3/20/2004,"786,000",
3/21/2004,"799,000",
3/22/2004,"804,000",
3/23/2004,"805,000",
3/24/2004,"799,000",
3/25/2004,"783,000",
3/26/2004,"762,000",
3/27/2004,"732,000",
3/28/2004,"699,000",
3/29/2004,"664,000",
3/30/2004,"630,000",
3/31/2004,"596,000",
4/1/2004,"571,000",
4/2/2004,"548,000",
4/3/2004,"535,000",
4/4/2004,"526,000",
4/5/2004,"522,000",
4/6/2004,"522,000",
4/7/2004,"528,000",
4/8/2004,"532,000",
4/9/2004,"535,000",
4/10/2004,"538,000",
4/11/2004,"541,000",
4/12/2004,"545,000",
4/13/2004,"549,000",
4/14/2004,"552,000",
4/15/2004,"553,000",
4/16/2004,"548,000",
4/17/2004,"539,000",
4/18/2004,"531,000",
4/19/2004,"518,000",
4/20/2004,"500,000",
4/21/2004,"488,000",
4/22/2004,"479,000",
4/23/2004,"471,000",
4/24/2004,"473,000",
4/25/2004,"486,000",
4/26/2004,"510,000",
4/27/2004,"542,000",
4/28/2004,"575,000",
4/29/2004,"602,000",
4/30/2004,"635,000",
5/1/2004,"663,000",
5/2/2004,"681,000",
5/3/2004,"689,000",
5/4/2004,"695,000",
5/5/2004,"693,000",
5/6/2004,"688,000",
5/7/2004,"685,000",
5/8/2004,"678,000",
5/9/2004,"670,000",
5/10/2004,"663,000",
5/11/2004,"656,000",
5/12/2004,"658,000",
5/13/2004,"661,000",
5/14/2004,"666,000",
5/15/2004,"692,000",
5/16/2004,"697,000",
5/17/2004,"683,000",
5/18/2004,"658,000",
5/19/2004,"639,000",
5/20/2004,"621,000",
5/21/2004,"594,000",
5/22/2004,"568,000",
5/23/2004,"548,000",
5/24/2004,"533,000",
5/25/2004,"521,000",
5/26/2004,"508,000",
5/27/2004,"491,000",
5/28/2004,"477,000",
5/29/2004,"471,000",
5/30/2004,"472,000",
5/31/2004,"480,000",
6/1/2004,"493,000",
6/2/2004,"511,000",
6/3/2004,"543,000",
6/4/2004,"581,000",
6/5/2004,"610,000",
6/6/2004,"639,000",
6/7/2004,"668,000",
6/8/2004,"693,000",
6/9/2004,"714,000",
6/10/2004,"730,000",
6/11/2004,"744,000",
6/12/2004,"756,000",
6/13/2004,"767,000",
6/14/2004,"777,000",
6/15/2004,"781,000",
6/16/2004,"783,000",
6/17/2004,"784,000",
6/18/2004,"786,000",
6/19/2004,"786,000",
6/20/2004,"786,000",
6/21/2004,"774,000",
6/22/2004,"763,000",
6/23/2004,"759,000",
6/24/2004,"759,000",
6/25/2004,"769,000",
6/26/2004,"777,000",
6/27/2004,"779,000",
6/28/2004,"784,000",
6/29/2004,"789,000",
6/30/2004,"794,000",
7/1/2004,"798,000",
7/2/2004,"803,000",
7/3/2004,"807,000",
7/4/2004,"806,000",
7/5/2004,"800,000",
7/6/2004,"792,000",
7/7/2004,"784,000",
7/8/2004,"780,000",
7/9/2004,"777,000",
7/10/2004,"772,000",
7/11/2004,"762,000",
7/12/2004,"745,000",
7/13/2004,"720,000",
7/14/2004,"692,000",
7/15/2004,"664,000",
7/16/2004,"637,000",
7/17/2004,"613,000",
7/18/2004,"591,000",
7/19/2004,"569,000",
7/20/2004,"551,000",
7/21/2004,"534,000",
7/22/2004,"519,000",
7/23/2004,"504,000",
7/24/2004,"490,000",
7/25/2004,"478,000",
7/26/2004,"465,000",
7/27/2004,"452,000",
7/28/2004,"441,000",
7/29/2004,"427,000",
7/30/2004,"408,000",
7/31/2004,"407,000",
8/1/2004,"403,000",
8/2/2004,"395,000",
8/3/2004,"382,000",
8/4/2004,"366,000",
8/5/2004,"352,000",
8/6/2004,"346,000",
8/7/2004,"346,000",
8/8/2004,"355,000",
8/9/2004,"367,000",
8/10/2004,"370,000",
8/11/2004,"367,000",
8/12/2004,"358,000",
8/13/2004,"345,000",
8/14/2004,"345,000",
8/15/2004,"344,000",
8/16/2004,"340,000",
8/17/2004,"330,000",
8/18/2004,"317,000",
8/19/2004,"303,000",
8/20/2004,"291,000",
8/21/2004,"277,000",
8/22/2004,"268,000",
8/23/2004,"257,000",
8/24/2004,"246,000",
8/25/2004,"242,000",
8/26/2004,"239,000",
8/27/2004,"232,000",
8/28/2004,"224,000",
8/29/2004,"222,000",
8/30/2004,"229,000",
8/31/2004,"237,000",
9/1/2004,"243,000",
9/2/2004,"250,000",
9/3/2004,"259,000",
9/4/2004,"271,000",
9/5/2004,"286,000",
9/6/2004,"302,000",
9/7/2004,"318,000",
9/8/2004,"334,000",
9/9/2004,"344,000",
9/10/2004,"344,000",
9/11/2004,"343,000",
9/12/2004,"336,000",
9/13/2004,"323,000",
9/14/2004,"307,000",
9/15/2004,"302,000",
9/16/2004,"324,000",
9/17/2004,"280,000",
9/18/2004,"264,000",
9/19/2004,"266,000",
9/20/2004,"279,000",
9/21/2004,"300,000",
9/22/2004,"327,000",
9/23/2004,"351,000",
9/24/2004,"363,000",
9/25/2004,"369,000",
9/26/2004,"372,000",
9/27/2004,"377,000",
9/28/2004,"383,000",
9/29/2004,"391,000",
9/30/2004,"405,000",
10/1/2004,"419,000",
10/2/2004,"431,000",
10/3/2004,"439,000",
10/4/2004,"441,000",
10/5/2004,"436,000",
10/6/2004,"422,000",
10/7/2004,"403,000",
10/8/2004,"387,000",
10/9/2004,"375,000",
10/10/2004,"361,000",
10/11/2004,"349,000",
10/12/2004,"341,000",
10/13/2004,"339,000",
10/14/2004,"336,000",
10/15/2004,"320,000",
10/16/2004,"306,000",
10/17/2004,"291,000",
